Iteration,Speed Index,Cumulative Layout Shift,Largest Contentful Paint,First Contentful Paint,Time to Interactive,Total Blocking Time
1,1261.406,0,3754.812,1261.406,3944.5620000000004,4.5
2,1254.27415,0,2706.5483,1254.27415,3948.3983000000003,6.499999999999773
3,1250.04695,0,3347.0939,1250.04695,3804.3197225,9.5
4,1258.16085,0,3456.3217000000004,1258.16085,3407.0993175000003,4.5
5,1254.4156,0,4096.2468,1254.4156,3406.794180000001,5.5
6,1260.25495,0,4388.7648500000005,1260.25495,3410.8951725000006,8
7,1249.8383,0,3605.6766,1249.8383,3947.8766,7
8,1252.0939,0,4094.7817000000005,1252.0939,3944.9377999999997,5.5
9,1249.48725,0,3754.9745000000003,1249.48725,3959.0745000000006,19
10,1254.12665,0,2706.2533,1254.12665,3953.8533000000007,12
11,1247.55465,0,3455.1093,1247.55465,3404.4097075000004,7
12,1253.65635,0,3155.3127,1253.65635,3945.0127,4.999999999999773
13,1259.50095,0,2707.0019,1259.50095,3952.5019,10
14,1260.6134,0,3755.2267999999995,1260.6134,3946.7268000000004,7
15,1248.3546,0,4089.5638,1248.3546,4239.7092,15
16,1249.67695,0,4095.03085,1249.67695,3399.9992725,3
17,1250.73075,0,4090.69225,1250.73075,3404.9326625000003,6
18,1251.0532,0,2706.1064,1251.0532,3944.1064000000006,3
19,1250.91265,0,3155.8253,1250.91265,3948.225300000001,6.999999999999773
20,1258.1037,0,4095.3111,1258.1037,3947.9574000000002,8.5
21,1251.3509,0,3347.7018,1251.3509,3808.044795,10.5
22,1250.22825,0,3154.4565,1250.22825,3943.5565000000006,4
23,1253.57915,0,3155.1583,1253.57915,3948.6083,8.5
24,1266.984,0,3603.968,1266.984,3947.468,9
25,1251.0736,0,2708.1472,1251.0736,3949.5472,6
26,1262.00505,0,3606.0101000000004,1262.00505,2973.0101000000004,11.000000000000227
27,1258.24745,0,4087.2423500000004,1258.24745,3413.2835475,11
28,1251.64505,0,3155.2901,1251.64505,2952.2901,1
29,1248.58225,0,3457.1645,1248.58225,3959.4145000000003,17.5
30,1257.4664,0,3754.9327999999996,1257.4664,3946.1328000000008,5.999999999999773
31,1252.22885,0,2444.4577,1252.22885,3799.2335674999995,5.5
32,1257.76555,0,3647.5311,1257.76555,3243.5576550000005,5
33,1262.76505,0,4093.79515,1262.76505,3411.4858275,7
34,1250.1069,0,3754.2138000000004,1250.1069,3957.5137999999997,18.000000000000227
35,1260.48585,0,3456.9717,1260.48585,3949.5217000000002,7.5
36,1261.7058,0,3455.4115999999995,1261.7058,3951.1616000000004,10.5
37,1249.75035,0,2705.5007,1249.75035,3952.2507000000005,12.499999999999773
38,1250.08645,0,2704.1729,1250.08645,3944.6229000000003,5.500000000000227
39,1254.96275,0,2446.9255,1254.96275,3805.1050125,10
40,1249.18055,0,3754.3611,1249.18055,3952.811100000001,13.5
41,1264.6199,0,3629.04975,1264.6199,3409.4108450000003,4.5
42,1248.81835,0,2703.6367,1248.81835,3950.1366999999996,11
43,1265.6363,0,3605.2726000000002,1265.6363,3953.4226000000003,12.5
44,1249.6324,0,3603.2648,1249.6324,3945.4648000000007,7
45,1248.9446,0,2705.8892,1248.9446,3950.4392,9.500000000000227
46,1251.9835,0,4094.9505,1251.9835,3408.5244250000005,8.5
47,1247.6704,0,3605.3408,1247.6704,3942.7907999999998,2.5
48,1257.2909,0,2706.5818,1257.2909,3947.4818000000005,6
49,1249.2407,0,3636.10175,1249.2407,3949.9314000000004,10.5
50,1257.54505,0,3605.0901000000003,1257.54505,3942.9901,3
